日期,项目,阶段,部门,具体任务,工时
07/29-08/04,GS220026-SD03 歌尔光电园二期综合服务楼二标段室内精装修项目,,IT部,郑志强咨询音轨重合分离相关问题。帮忙寻求专业人员。,1
07/29-08/04,GS220067-SD09 嘉行传媒-BJ-朝阳751园A21栋办公室设计施工项目,,IT部,报修拼接屏故障，沟通甲方及厂商。报价,1
07/29-08/04,GS220080-BJ11 温哥华森林别墅设计施工项目,,IT部,温哥华KTV房音视频方案，发预算开始报价。,1
07/29-08/04,GS230020-SD03 歌尔科技产业项目二期内装及机电安装深化设计项目,,IT部,根据图审C栋意见，调整E栋施工图。,30
07/29-08/04,GS230067-BJ09 金尚城溪-设计施工项目,,IT部,方案调整，参加方案交底会，沟通运营商现场踏勘，调整图纸。,15
07/29-08/04,GS230078-BJ11 北京嘉华学院设计项目,,IT部,行政楼替换装饰底图，调整比例及图框,3
07/29-08/04,GS240000-GZWX 2024年合同额小于20万维修改造项目,,IT部,①三星增加门禁意见开启，向预算交底；,2
07/29-08/04,GS240001-BJ01 2024年金尚源改造,,IT部,金尚源和集成商沟通，前台区域增加智能开关，进行集中控制。,1
07/29-08/04,GS240037-HB02 邢台面粉厂片区改造一期-地库设计项目,,IT部,沟通需求，拉通厂商及方案设计，绘制图纸。,18
07/29-08/04,GS240043-HZ01 乐华娱乐-HZ-杭州星澜里4号楼10F项目,,IT部,拉通甲方需求方，弱电方案全部推翻重新架构。绘制图纸、编辑设计变更单等。,23
07/29-08/04,GS240043-HZ01 乐华娱乐-HZ-杭州星澜里4号楼10F项目,,IT部,现场沟通，调整材料设备确认单，材料下单等,7
07/29-08/04,GS240071-GD05 冠宇达顺德厂房、创研楼施工项目,,IT部,绘制A栋、C栋弱电施工图,6
07/29-08/04,GS240073-GD06 华南农业大学珠江学院从化校区1A1B宿舍装修设计项目,,IT部,根据设计方案、接收新图纸，提出答疑文件,3
07/29-08/04,ISS24103-BJ07 北京海淀区环保园C2栋1F、3F、MAG门禁系统升级改造项目,,IT部,熵基门禁下单采购,1
07/29-08/04,ISS24109-SY07 沈阳沈河区前海人寿金融中心21层CDS场地新建项目,,IT部,根据客户新需求，2次调整弱电施工图,7
07/29-08/04,ISS24109-SY07 沈阳沈河区前海人寿金融中心21层CDS场地新建项目,,IT部,与施工单位沟通安装事宜，材料下单,2
07/29-08/04,ISS24110-XA07 西安高新区新加坡腾飞科汇城东楼22层MAG华为ICTT终端业务新建项目,,IT部,熵基门禁下单采购,1
07/29-08/04,ISS24116-SH07 上海虹口区友邦金融大厦26层2601室2608及2609室营销中心新建项目,,IT部,与软通基建，IT，大屏厂家线上碰方案,3
07/29-08/04,ISS24119-SZ07 深圳交付中心新建设计项目,,IT部,沟通需求，绘制图纸并发出。,13
07/29-08/04,ISS24125-HZ07 杭州慧港科技园A1栋5层6层MAG消费者场地门禁系统改造项目,,IT部,与客户线上会议沟通门禁改造方案，输出弱电安防施工平面方案,5
07/29-08/04,ISS24128-CQ08 重庆两江新区互联网产业园二期6号楼11-12层DOS场地改造项目,,IT部,与客户会议沟通改造需求，输出改造平面方案,9
07/29-08/04,IT部技术支持（WTL）,,IT部,WTL技术支持,13
07/29-08/04,IT部技术支持（金尚集团）,,IT部,金尚集团技术支持,24
07/29-08/04,IT部技术支持（金尚物业）,,IT部,金尚物业技术支持,7
07/29-08/04,IT部技术支持（租户）,,IT部,金尚源租户技术支持,2
07/29-08/04,会议培训及行政类工作,,IT部,金尚租赁会、金尚CRM系统会,4
07/29-08/04,会议培训及行政类工作,,IT部,朋明例会，周报汇总编辑等。,9
07/29-08/04,金尚支持工作,,IT部,金尚活动支持,44
07/29-08/04,GS220080-BJ11 温哥华森林别墅设计施工项目,,采购部,"材料样板 设计选样,供应商询价",2
07/29-08/04,GS230045-BJ07 华樾中心B座-BJ-朝阳区创远路28号院1号楼项目,,采购部,施工现场配合-材料对接,10
07/29-08/04,GS240019-BJ03 宝马品牌学院-BJ-设计施工项目,,采购部,材料样板 设计选样,4
07/29-08/04,GS240026-TJ01 天津嘉诚中学改造设计项目,,采购部,材料样板 设计选样,1
07/29-08/04,GS240032-BJ09 俄罗斯天然气北京办公室改造项目,,采购部,"材料样板 设计选样,材料询价",2
07/29-08/04,GS240034-BJ10 炮局二条一号院会所设计施工项目,,采购部,材料下单,4
07/29-08/04,GS240035-BJ11 世贸国际公寓设计施工项目,,采购部,施工现场配合-材料对接,15
07/29-08/04,GS240040-SH03 立达学院-SH-上海立达学院第三餐厅设计项目,,采购部,材料样板 设计选样,1
07/29-08/04,GS240043-HZ01 乐华娱乐-HZ-杭州星澜里4号楼10F项目,,采购部,"材料样板 设计选样,供应商询价",4
07/29-08/04,GS240056-BJ22 恐龙乐园-BJ-恐龙主题乐园项目,,采购部,"材料样板 设计选样,材料询价",4
07/29-08/04,GS240071-GD05 冠宇达顺德厂房、创研楼施工项目,,采购部,"材料样板 设计选样,材料询价",18
07/29-08/04,ISS23074-BJ04 北京通州信创园B区8栋18层装修工程项目,,采购部,材料下单,3
07/29-08/04,ISS24109-SY07 沈阳沈河区前海人寿金融中心21层CDS场地新建项目,,采购部,施工现场配合-材料对接,3
07/29-08/04,ISS24116-SH07 上海虹口区友邦金融大厦26层2601室2608及2609室营销中心新建项目,,采购部,材料样板 设计选样,11
