项目编码,项目名称,客户报价金额（元）,采购成本（元）,盈利（元）,谈判状态,,
GS230045-BJ07,GS230045-BJ07   华樾中心B座-BJ-朝阳区创远路28号院1号楼项目," ¥ 31,552,050.36 "," ¥ 31,045,413.66 ","¥506,636.70",成功签约,,
GS240013-SH01,上海联江芯半导体有限公司盛夏路399弄亚芯科技园2号楼7楼局部装修施工," ¥ 4,491,464.77 "," ¥ 3,599,526.62 ","¥891,938.15",成功签约,,
GS240001-BJ01,2024年金尚源改造," ¥ 5,513.65 "," ¥ 5,109.12 ",¥404.53,成功签约,绿色,成功签约
GS240034-BJ10,炮局二条一号院·会所设计项目," ¥ 2,578,000.00 "," ¥ 2,300,000.00 ","¥278,000.00",成功签约,深绿,谈判中
GS240035-BJ11,世贸国际公寓设计施工项目," ¥ 2,743,965.31 "," ¥ 2,189,977.35 ","¥553,987.96",成功签约,白色,进行中
GS240043-HZ01,乐华娱乐-HZ-杭州星澜里4号楼10F项目," ¥ 866,250.99 "," ¥ 692,215.87 ","¥174,035.12",成功签约,黄色,项目失败
GS240063-BJ29,博彦科技平安金融中心接待室改造项目," ¥ 429,291.58 "," ¥ 399,521.81 ","¥29,769.77",成功签约,,
,上海歌尔办公室改造," ¥ 206,250.00 "," ¥ 165,000.00 ","¥41,250.00",成功签约,,
,上海歌尔办公室改造-实验室接地," ¥ 7,176.70 "," ¥ 6,658.16 ",¥518.54,成功签约,,
,上海歌尔办公室改造-防静电PVC," ¥ 40,560.00 "," ¥ 32,000.00 ","¥8,560.00",成功签约,,
,FY24微软北京园区厨房设备紧急采购改造项目-排油烟," ¥ 176,632.68 "," ¥ 154,355.08 ","¥22,277.60",成功签约,,
,微软北京园区热力站排水管水篦子项目," ¥ 34,670.44 "," ¥ 32,437.68 ","¥2,232.76",成功签约,,
,微软北京园区小项目方案征询 - 1号楼2号楼白色家电更换," ¥ 200,263.73 "," ¥ 178,492.98 ","¥21,770.75",成功签约,,
,微软北京园区小项目方案征询 - 1号楼B4地面渗水维修项目," ¥ 486,196.49 "," ¥ 419,205.23 ","¥66,991.26",成功签约,,
,微软北京园区小项目方案征询 - FY24 T1 B3和B4停车场及T2 B2库房和B3漏水维修," ¥ 404,426.27 "," ¥ 334,060.33 ","¥70,365.94",成功签约,,
,AMD 直饮水机安装水管管路改造," ¥ 40,312.45 "," ¥ 33,585.96 ","¥6,726.49",成功签约,,
,AMD--18F19F茶水间地胶及直饮水相关改造," ¥ 33,738.55 "," ¥ 32,155.31 ","¥1,583.24",成功签约,,
,AMD--18F排污水管改造报价," ¥ 27,126.57 "," ¥ 26,028.88 ","¥1,097.69",成功签约,,
,AMD茶水间更换地胶PVC," ¥ 18,950.84 "," ¥ 16,388.81 ","¥2,562.03",成功签约,,
,AMD 19F会议室改造," ¥ 24,580.67 "," ¥ 21,680.54 ","¥2,900.13",成功签约,,
,AMD 19层前台、18层茶水内墙面乳胶漆翻新," ¥ 20,401.50 "," ¥ 16,489.20 ","¥3,912.30",成功签约,,
,AMD 增加背漆玻璃及墙面翻新," ¥ 8,417.57 "," ¥ 6,734.05 ","¥1,683.52",成功签约,,
,AMD 会议室（1829-1910）更换壁纸," ¥ 6,049.70 "," ¥ 5,634.21 ",¥415.49,成功签约,,
,AMD 18层茶水门口及1838—1839走廊的壁纸和去母婴室走廊的壁纸改造," ¥ 16,369.39 "," ¥ 14,495.09 ","¥1,874.30",进行中,,
,怀柔小院阳光棚改造," ¥ 172,500.00 "," ¥ 138,000.00 ","¥34,500.00",成功签约,,
,嘉行传媒-BJ-朝阳751园A21栋办公室设计施工项目（空调过滤网清洗）," ¥ 5,135.72 "," ¥ 4,822.16 ",¥313.56,成功签约,,
GS230079-BJ11,  方正国际大厦-施工项目," ¥ 6,976,418.00 "," ¥ 5,602,895.65 ","¥1,373,522.35",谈判中,,
GS240071-GD05,冠宇达顺德厂房、创研楼施工项目（D栋）," ¥ 13,124,163.85 "," ¥ 10,489,933.08 ","¥2,634,230.77",谈判中,,
GS240010-BJ01,香港大学办公室-设计施工项目," ¥ 2,359,318.59 "," ¥ 1,839,583.58 ","¥519,735.01",谈判中,,
GS240032-BJ09,俄罗斯天然气北京办公室改造项目," ¥ 2,870,968.40 "," ¥ 2,376,667.46 ","¥494,300.94",进行中,,
GS240033-CD02, 鼎桥成都-CD-天府产业园C3楼1F北侧餐厅项目,,,¥0.00,项目失败,,
GS240037-HB02, 邢台面粉厂片区改造一期-地库设计项目," ¥ 6,876,098.33 "," ¥ 5,241,144.17 ","¥1,634,954.16",谈判中,,
GS240044-BJ14, 巴基斯坦大使馆-BJ-朝阳区巴基斯坦大使馆会议室改造项目," ¥ 2,356,031.89 "," ¥ 1,712,658.00 ","¥643,373.89",成功签约,,
GS240050-GD04,2024 BMBS广州办公室装修改造项目," ¥ 1,589,302.55 "," ¥ 1,273,345.38 ","¥315,957.17",谈判中,,
GS240051-BJ18,中国人寿B1层餐厅改造项目," ¥ 1,193,360.46 "," ¥ 971,429.37 ","¥221,931.09",进行中,,
GS240052-SD02,"青岛歌尔虚拟现实产业园1,4#厂房精装修工程"," ¥ 1,246,960.43 "," ¥ 10,990,968.72 ","-¥9,744,008.29",谈判中,,
GS240056-BJ22,恐龙乐园-BJ-恐龙主题乐园项目," ¥ 13,738,309.54 "," ¥ 11,729,872.27 ","¥2,008,437.27",进行中,,
GS240057-BJ23,北京大学兰园书院设计项目," ¥ 14,662,648.74 "," ¥ 475,670.06 ","¥14,186,978.68",进行中,,
GS240062-BJ28,博彦科技中关村软件园二层会议区改造项目," ¥ 566,785.03 "," ¥ 424,913.58 ","¥141,871.45",进行中,,
GS240066-BJ32, 中信金属办公室改造项目,,,¥0.00,进行中,,
,HTC改造项目," ¥ 530,028.05 "," ¥ 34,000.00 ","¥496,028.05",进行中,,
,白米范局部改造项目," ¥ 36,000.00 "," ¥ 675,286.00 ","-¥639,286.00",进行中,,
GS240019-BJ03,宝马品牌学院-BJ-设计施工项目," ¥ 756,700.42 "," ¥ 3,085,704.02 ","-¥2,329,003.60",进行中,,
GS240048-BJ17, 金尚城溪105单元牛街祥云轩装修工程," ¥ 3,555,073.81 "," ¥ 483,579.83 ","¥3,071,493.98",进行中,,
,歌尔光电园二期大健康项目," ¥ 540,648.21 "," ¥ 8,862,036.89 ","-¥8,321,388.68",谈判中,,
,海淀文化艺术大厦室内设计项目,,,¥0.00,进行中,,
GS240036-BJ12,正午阳光办公室设计施工项目," ¥ 10,430,267.66 "," ¥ 20,788,422.00 ","-¥10,358,154.34",谈判中,,
,上海歌尔办公室改造-空调室外平台改造," ¥ 24,749,366.50 "," ¥ 7,146.04 ","¥24,742,220.46",进行中,,
,歌尔研发隔墙改造项目," ¥ 8,930.78 "," ¥ 50,312.27 ","-¥41,381.49",进行中,,
,上海歌尔办公室装修改造," ¥ 52,126.81 "," ¥ 691,859.73 ","-¥639,732.92",进行中,,
,南京歌尔弱电机房增容改造," ¥ 853,047.40 "," ¥ 292,266.39 ","¥560,781.01",进行中,,
,Amy家改造," ¥ 33,635.99 "," ¥ 317,164.00 ","-¥283,528.01",进行中,,
,捷迈医疗退租恢复项目," ¥ 396,450.00 "," ¥ 480,000.00 ","-¥83,550.00",进行中,,
,新世相办公室改造," ¥ 1,713,485.09 "," ¥ 1,324,654.07 ","¥388,831.02",进行中,,
,印度大使馆改造,,,¥0.00,进行中,,
,三星北京办公室公区改造（玻璃拆除+重新安装+隔音板追加+背景墙）," ¥ 99,649.91 "," ¥ 79,583.93 ","¥20,065.98",谈判中,,
,微软北京上海紫竹苏州园区苏州中盟墙面修复及维护服务, ¥ 139.53 , ¥ 133.96 ,¥5.57,进行中,,
,微软北京园区厨房设备更新项目," ¥ 217,557.56 "," ¥ 167,208.85 ","¥50,348.71",谈判中,,
,微软北京园区漏水维修项目," ¥ 39,000.00 "," ¥ 34,662.00 ","¥4,338.00",进行中,,
,微软北京园区讨论间、老板间、电话间墙面加装护板项目," ¥ 430,956.71 "," ¥ 341,793.07 ","¥89,163.64",谈判中,,
,微软家具维修,,,¥0.00,进行中,,
,微软北京园区卫生间及健身房改造," ¥ 51,305.32 "," ¥ 48,586.75 ","¥2,718.57",谈判中,,
,巴航华贸办公室零星改造项目-更换自动门感应器," ¥ 3,475.92 "," ¥ 3,740.88 ",-¥264.96,进行中,,
,巴航华贸办公室零星改造项目-更换自动门感应器及新增挂衣架," ¥ 4,198.45 "," ¥ 4,678.02 ",-¥479.57,进行中,,
,巴航华贸办公室零星改造项目-经理室增加衣柜," ¥ 4,376.54 "," ¥ 4,556.20 ",-¥179.66,进行中,,
,巴航华贸办公室零星改造项目-增加挂衣架, ¥ 922.30 , ¥ 937.14 ,-¥14.84,进行中,,
,巴航华贸办公室零星改造项目-增加监控," ¥ 11,391.22 "," ¥ 9,639.96 ","¥1,751.26",进行中,,
,上海嘉楠退租改造," ¥ 1,186,752.96 "," ¥ 946,150.37 ","¥240,602.59",进行中,,
,AMD 前台区域局部改造," ¥ 82,550.55 "," ¥ 72,234.15 ","¥10,316.40",进行中,,
,百合春天（欧陆店）改造项目," ¥ 73,891.37 "," ¥ 68,178.06 ","¥5,713.31",进行中,,
,戴姆勒上海培训中心改造项目," ¥ 404,400.00 "," ¥ 378,000.00 ","¥26,400.00",谈判中,,
,加纳大使馆更换地毯项目," ¥ 223,818.31 "," ¥ 208,942.73 ","¥14,875.58",进行中,,
,嘉行传媒-BJ-朝阳751园A21栋办公室设计施工项目（显示屏维修）," ¥ 10,467.87 "," ¥ 8,592.15 ","¥1,875.72",进行中,,
,嘉行传媒-BJ-朝阳751园A21栋办公室设计施工项目（工位移位）, ¥ 553.24 , ¥ 599.50 ,-¥46.26,进行中,,
,青岛国创3#楼增加监控," ¥ 7,552.20 "," ¥ 6,852.53 ",¥699.67,进行中,,
,上海中建企业天地6#11楼办公室局部装修施工," ¥ 4,090,796.10 "," ¥ 3,977,267.09 ","¥113,529.01",谈判中,,
,AMD办公室19F增加电源," ¥ 4,293.93 "," ¥ 3,952.56 ",¥341.37,进行中,,
,金尚.梅苑项目," ¥ 25,179,982.50 "," ¥ 23,607,325.00 ","¥1,572,657.50",进行中,,
,廊坊体育场-LF-廊坊经济技术开发区和平路189号项目," ¥ 34,366,264.29 "," ¥ 32,159,316.62 ","¥2,206,947.67",进行中,,
,软通成都-金尚小酒店项目," ¥ 11,655,535.70 "," ¥ 9,339,653.44 ","¥2,315,882.26",进行中,,
,苏州工业园综合保税区7号厂房ICP智能电子事业本部新建厂房项目," ¥ 4,486,429.60 "," ¥ 3,961,615.53 ","¥524,814.07",谈判中,,
GS240064-BJ30,北京大学燕京学堂设计项目," ¥ 240,064.08 "," ¥ 224,898.12 ","¥15,165.96",进行中,,
GS240058-BJ24,东来顺小楼-BJ-新东路东来顺集团小楼项目,,,¥0.00,进行中,,
GS240059-BJ25,东来顺-BJ-新源里东来顺办公楼会客餐厅改造项目,,,¥0.00,进行中,,
GS240060-BJ26,康美电业-泰禾文化大厦办公室改造项目,,,¥0.00,进行中,,
GS240065-BJ31,东来顺办公楼会客餐厅改造项目,,,¥0.00,进行中,,
GS240066-BJ32,中信金属办公室改造项目,,,¥0.00,进行中,,
GS240067-BJ33,中信集团-BJ-18层办公室设计项目,,,¥0.00,进行中,,
