项目编码,项目名称,合同金额,项目采购成本,盈利（元）
ISS24001-CS01,长沙高新区麓谷信息港B栋14层黄区改开放区项目," ¥ 42,800.11 ","¥38,520.10","¥4,280.01"
ISS24002-HF01,合肥包河区金融港A7栋2层MAG阿里业务新建场地," ¥ 711,068.54 ","¥850,228.47","-¥139,159.93"
ISS24003-HZ01,杭州余杭区鼎创财富中心7-8层综合场地优化改造项目," ¥ 923,937.45 ","¥1,110,343.34","-¥186,405.89"
ISS24004-CD01,成都郫都区万科菁蓉都会战略交付基地一期8层新建项目," ¥ 7,936,466.19 ","¥9,391,759.42","-¥1,455,293.23"
ISS24015-CD01,成都高新紫光芯云B座3层MAG新浪场地改造项目," ¥ 24,469.14 ","¥22,022.23","¥2,446.91"
ISS24018-XA01,西安高新区环普产业园A2幢7层MAG华为消费者终端交付件改互联网ODC场地项目," ¥ 57,372.98 ","¥68,537.78","-¥11,164.80"
ISS24019-NJ01,南京雨花区怡化中心B栋4层MAG华为TC黄区扩租新建项目," ¥ 91,692.86 ","¥79,294.86","¥12,398.00"
ISS24020-NJ01,南京建邺康缘智慧港C栋18楼TTR小米ODC场地另一侧空调外机维修改造项目," ¥ 13,424.19 ","¥15,389.83","-¥1,965.64"
ISS24022-CD01,成都高新茂业茂业中心A座2504-2505MAG场地退租项目," ¥ 45,960.68 ","¥53,860.58","-¥7,899.90"
ISS24023-SZ01,深圳罗湖区中设广场A栋2层3层战略场地退租项目," ¥ 114,419.94 ","¥137,303.82","-¥22,883.88"
ISS24024-WX01,无锡滨湖旭天软件园A2楼3层D0S字节热线业务场地改腾讯审核业务场地项目," ¥ 21,497.30 ","¥18,303.19","¥3,194.11"
ISS24025-XA02,西安高新环普腾飞科汇城11层MAG华为BPIT绿区ODC过渡场地新建项目," ¥ 96,081.81 ","¥104,900.99","-¥8,819.18"
ISS24026-WH02,武汉东湖高新区光谷信息城软件新城2期C15栋7层场地退租项目," ¥ 72,419.41 ","¥75,183.58","-¥2,764.17"
ISS24027-SZ02,深圳龙岗金荣达5栋5层MAG华为开放区改消费者云蓝区ODC场地项目," ¥ 46,954.70 ","¥50,268.95","-¥3,314.25"
ISS24028-JN02,济南历下区平安金融中心9层MAG华为业务专属场地新建项目," ¥ 3,199,507.97 ","¥2,887,267.31","¥312,240.66"
ISS24029-JN02,济南历下区平安金融中心8层综合场地新建项目," ¥ 946,381.68 ","¥1,017,276.96","-¥70,895.28"
ISS24030-CD02,成都武侯区西部智谷4层DOS场地改造项目," ¥ 227,718.87 ","¥245,469.14","-¥17,750.27"
ISS24031-XA03,西安高新区环普产业园A2幢13层MAG华为BPIT绿区ODC场地新建项目," ¥ 2,003,959.08 ","¥1,890,880.24","¥113,078.84"
ISS24032-XA03,西安高新区环普产业园E幢3-5层MAG华为综合ODC场地工位扩建改造项目," ¥ 443,607.19 ","¥466,306.48","-¥22,699.29"
ISS24033-SZ03,深圳福田新浩E都6层局部MAG超聚变ODC黄区场地退租项目," ¥ 107,301.72 ","¥94,052.55","¥13,249.17"
ISS24035-WH03,武汉东湖高新区未来科技城C2栋10层MAG场地新建项目," ¥ 384,930.20 ","¥331,671.38","¥53,258.82"
ISS24036-CD03,成都武侯区西部智谷4层TTR场地改造项目," ¥ 64,891.20 ","¥80,424.29","-¥15,533.09"
ISS24037-WH03,武汉东湖高新区当代梦工厂5栋10层TTR场地改造项目," ¥ 62,551.65 ","¥65,206.98","-¥2,655.33"
ISS24038-CD03,成都高新软件园C区2栋3层TTR场地退租项目," ¥ 6,574.53 ","¥5,938.34",¥636.19
ISS24039-SZ03,苏州工业园综合保税区7号厂房ICP智能电子事业本部新建厂房项目," ¥ 93,216.07 ","¥72,457.33","¥20,758.74"
ISS24040-XA03,西安长安区沣东学研广场B座4层南侧及5层综合场地退租项目," ¥ 64,311.19 ","¥665,395.99","-¥601,084.80"
ISS24041-XA03,西安长安区沣东学研广场B座5层综合场地退租关联A座4层改造项目," ¥ 635,997.17 ","¥269,926.24","¥366,070.93"
ISS24042-SZ03,深圳罗湖中设广场A栋22层综合场地局部改ICP计算产品事业本部研发区项目," ¥ 296,187.07 ","¥174,893.79","¥121,293.28"
ISS24043-CD03,成都高新茂业茂业中心C座1023室DOS场地新建项目," ¥ 183,121.24 ","¥308,353.71","-¥125,232.47"
ISS24044-CD03,成都武侯区先进科技研发大楼B座8层DOS客如云及字节机房改造项目," ¥ 253,095.70 ","¥17,173.82","¥235,921.88"
ISS24045-BJ03,北京海淀软通总部大楼5层503会议室改造项目," ¥ 18,087.08 ","¥47,327.62","-¥29,240.54"
ISS24046-SZ03,深圳龙岗金荣达6栋1层MAG华为专属场地前台综合升级改造项目," ¥ 41,306.64 ","¥1,587,307.79","-¥1,546,001.15"
ISS24047-BJ03,北京海淀区数字山谷4层ICP计算产品事业本部场地新建项目," ¥ 1,325,680.75 ","¥406,174.20","¥919,506.55"
ISS24048-BJ03,北京海淀软通总部大楼1层ICP实验室改造项目," ¥ 383,746.04 ","¥18,489.17","¥365,256.87"
ISS24049-NJ04,南京江宁天域互联D1栋6层MAG华为PC黄区会议室改造项目," ¥ 20,043.46 ","¥8,623.69","¥11,419.77"
ISS24050-BJ04,北京海淀软通总部大楼5层高管秘书办公区改造项目," ¥ 7,595.99 ","¥72,060.70","-¥64,464.71"
ISS24051-XA04,西安长安区沣东学研广场A座9层鸿湖万联业务场地监控改造项目," ¥ 68,709.61 ","¥89,032.66","-¥20,323.05"
ISS24052-CQ04,重庆两江新区互联网产业园2期6号楼5层8层TTR及DOS场地退租项目," ¥ 77,611.55 ","¥47,213.09","¥30,398.46"
ISS24053-BJ04,北京海淀数字山谷室外LOGO升级改造项目," ¥ 42,958.11 ","¥50,799.39","-¥7,841.28"
ISS24054-DG04,东莞松山湖光大We谷B1栋6层MAG华为TC黄区机房空调维修项目," ¥ 7,351.66 ","¥8,140.49",-¥788.83
ISS24055-NJ04,南京江宁天域互联D1栋2层211室MAG华为ICTT工业互联通信COE设备间升级改造项目," ¥ 57,413.64 ","¥60,165.36","-¥2,751.72"
ISS24056-BJ04,北京海淀软通总部大楼室内及室外通用标识系统升级改造项目," ¥ 134,777.37 ","¥150,465.57","-¥15,688.20"
ISS24057-NJ04,南京雨花区怡化大厦B座4层10单元MAG华为慧通商旅业务蓝区新建项目," ¥ 476,475.62 ","¥470,878.98","¥5,596.64"
