日期,阶段,部门,具体任务,工时,项目编码,项目名称,labor_efficiency,收益（元）,采购成本（元）,盈利（元）,谈判状态
07/29-08/04,,IT部,郑志强咨询音轨重合分离相关问题。帮忙寻求专业人员。,1.0,GS220026-SD03,歌尔光电园二期综合服务楼二标段室内精装修项目,100.0,,,,
09/02-09/08,4. 竣工阶段,预算部,1.8-9-10层劳务结算二次上报审核（7小时）,10.0,GS220026-SD03,歌尔光电园二期综合服务楼二标段室内精装修项目,140.0,,,,
09/02-09/08,4. 竣工阶段,预算部,竣工结算阶段（42h),42.0,GS220026-SD03,歌尔光电园二期综合服务楼二标段室内精装修项目,33.33333333333333,,,,
09/09-09/15,,业务部Tina,,4.0,GS220026-SD03,歌尔光电园二期综合服务楼二标段室内精装修项目,62.5,,,,
09/09-09/15,4. 竣工阶段,预算部,结算阶段,14.0,GS220026-SD03,歌尔光电园二期综合服务楼二标段室内精装修项目,100.0,,,,
09/23-09/29,1. 投标阶段,业务部Tina,,1.0,GS220026-SD03,歌尔光电园二期综合服务楼二标段室内精装修项目,250.0,,,,
07/29-08/04,,IT部,报修拼接屏故障，沟通甲方及厂商。报价,1.0,GS220067-SD09,北京BJ嘉行传媒朝阳751园A21栋办公室设计施工项目,100.0,,,,
07/29-08/04,,IT部,温哥华KTV房音视频方案，发预算开始报价。,1.0,GS220080-BJ11,温哥华森林别墅设计施工项目,100.0,,,,
07/29-08/04,,采购部,"材料样板 设计选样,供应商询价",2.0,GS220080-BJ11,温哥华森林别墅设计施工项目,250.0,,,,
07/29-08/04,,机电部,统计用电负荷，出具计算书,5.0,GS220080-BJ11,温哥华森林别墅设计施工项目,60.0,,,,
07/29-08/04,,私宅部,施工配合,1.0,GS220080-BJ11,温哥华森林别墅设计施工项目,200.0,,,,
07/29-08/04,,预算部,在施项目（4小时）,4.0,GS220080-BJ11,温哥华森林别墅设计施工项目,100.0,,,,
08/05-08/11,,采购部,"材料样板 设计选样,材料下单",2.0,GS220080-BJ11,温哥华森林别墅设计施工项目,250.0,,,,
08/05-08/11,,私宅部,施工配合,2.0,GS220080-BJ11,温哥华森林别墅设计施工项目,100.0,,,,
08/12-08/18,,IT部,沟通供应商出具KTV方案，商议方案细节。,3.0,GS220080-BJ11,温哥华森林别墅设计施工项目,33.33333333333333,,,,
08/12-08/18,,采购部,"材料样板 设计选样,材料下单",9.0,GS220080-BJ11,温哥华森林别墅设计施工项目,55.55555555555556,,,,
08/12-08/18,,私宅部,施工配合,4.0,GS220080-BJ11,温哥华森林别墅设计施工项目,50.0,,,,
08/12-08/18,,预算部,在施项目（4h）,4.0,GS220080-BJ11,温哥华森林别墅设计施工项目,100.0,,,,
08/19-08/25,,IT部,沟通KTV方案，修改调整后发客户，待后续汇报。,1.0,GS220080-BJ11,温哥华森林别墅设计施工项目,100.0,,,,
08/19-08/25,,采购部,"施工现场配合-材料对接,材料下单",4.0,GS220080-BJ11,温哥华森林别墅设计施工项目,125.0,,,,
08/19-08/25,,私宅部,"施工配合,商务对接",3.0,GS220080-BJ11,温哥华森林别墅设计施工项目,66.66666666666666,,,,
08/19-08/25,,预算部,在施项目（4h）,4.0,GS220080-BJ11,温哥华森林别墅设计施工项目,100.0,,,,
08/26-09/01,,IT部,向客户讲解影音室弱电方案。,1.0,GS220080-BJ11,温哥华森林别墅设计施工项目,100.0,,,,
08/26-09/01,,采购部,"施工现场配合-材料对接,材料下单",6.0,GS220080-BJ11,温哥华森林别墅设计施工项目,83.33333333333334,,,,
08/26-09/01,,私宅部,"施工配合,商务追款",2.0,GS220080-BJ11,温哥华森林别墅设计施工项目,100.0,,,,
09/02-09/08,,采购部,"材料下单,施工现场配合-材料对接",5.0,GS220080-BJ11,温哥华森林别墅设计施工项目,100.0,,,,
09/02-09/08,3. 施工阶段,私宅部,"施工配合,商务追款,材料确认会",2.0,GS220080-BJ11,温哥华森林别墅设计施工项目,100.0,,,,
09/09-09/15,3. 施工阶段,采购部,"材料下单,施工现场配合-材料对接",7.0,GS220080-BJ11,温哥华森林别墅设计施工项目,71.42857142857143,,,,
09/09-09/15,3. 施工阶段,私宅部,"施工配合,商务追款",4.0,GS220080-BJ11,温哥华森林别墅设计施工项目,50.0,,,,
09/16-09/22,3. 施工阶段,采购部,"材料下单,施工现场配合-材料对接",3.0,GS220080-BJ11,温哥华森林别墅设计施工项目,166.66666666666669,,,,
09/16-09/22,3. 施工阶段,机电部,解决现场施工问题,1.0,GS220080-BJ11,温哥华森林别墅设计施工项目,300.0,,,,
09/16-09/22,3. 施工阶段,私宅部,施工配合,2.0,GS220080-BJ11,温哥华森林别墅设计施工项目,100.0,,,,
09/16-09/22,3. 施工阶段,预算部,1、增加健身房集水沟、室内外增容电缆，变更报价编制报出；,8.0,GS220080-BJ11,温哥华森林别墅设计施工项目,50.0,,,,
09/23-09/29,3. 施工阶段,采购部,"材料下单,施工现场配合-材料对接",14.0,GS220080-BJ11,温哥华森林别墅设计施工项目,35.714285714285715,,,,
09/23-09/29,3. 施工阶段,私宅部,施工配合,2.0,GS220080-BJ11,温哥华森林别墅设计施工项目,100.0,,,,
09/23-09/29,3. 施工阶段,预算部,消防部分劳务报价，配合采购进行电缆、瓷砖成本核算及下单,2.0,GS220080-BJ11,温哥华森林别墅设计施工项目,200.0,,,,
07/29-08/04,,IT部,根据图审C栋意见，调整E栋施工图。,30.0,GS230020-SD03,歌尔科技产业项目二期内装及机电安装深化设计项目,46.66666666666666,,,,
07/29-08/04,,机电部,深化配合,1.0,GS230020-SD03,歌尔科技产业项目二期内装及机电安装深化设计项目,100.0,,,,
07/29-08/04,,内审部,劳务结算审核,4.0,GS230020-SD03,歌尔科技产业项目二期内装及机电安装深化设计项目,100.0,,,,
09/16-09/22,2. 设计阶段,IT部,C栋毛坯交付和客户沟通图纸如何调整，替换毛坯底图,4.0,GS230020-SD03,歌尔科技产业项目二期内装及机电安装深化设计项目,350.0,,,,
09/23-09/29,2. 设计阶段,IT部,C栋精装改毛坯，图纸圈定施工范围，编写说明,14.0,GS230020-SD03,歌尔科技产业项目二期内装及机电安装深化设计项目,100.0,,,,
07/29-08/04,,IT部,方案调整，参加方案交底会，沟通运营商现场踏勘，调整图纸。,15.0,GS230067-BJ09,金尚城溪设计施工项目,120.0,,,,
07/29-08/04,,机电部,现场勘察，与中影沟通，排水管网，化粪池容积计算书，报审图纸,42.0,GS230067-BJ09,金尚城溪设计施工项目,82.14285714285714,,,,
07/29-08/04,,内审部,自来水劳务谈判，木作及木作增项、排烟设备劳务审核,16.0,GS230067-BJ09,金尚城溪设计施工项目,68.75,,,,
07/29-08/04,,私宅部,"施工配合,效果方案更新",38.0,GS230067-BJ09,金尚城溪设计施工项目,126.3157894736842,,,,
07/29-08/04,,业务部Tina,,28.0,GS230067-BJ09,金尚城溪设计施工项目,62.5,,,,
08/05-08/11,,IT部,现场沟通，安排网络运营商及移动手机信号供应商现场施工。沟通选住，同兵总、胡工、邓工等深化小酒店区域智能化设备,17.0,GS230067-BJ09,金尚城溪设计施工项目,105.88235294117648,,,,
